age,unit,sex,indic_em,geo,year,employment
Y15-24,THS_PER,M,ACT,BE,2020 ,200 
Y15-24,THS_PER,M,ACT,BG,2020 ,80 
Y15-24,THS_PER,M,ACT,CH,2020 ,296 
Y15-24,THS_PER,M,ACT,CY,2020 ,17 
Y15-24,THS_PER,M,ACT,CZ,2020 ,163 
Y15-24,THS_PER,M,ACT,DE,2020 ,2382 bp
Y15-24,THS_PER,M,ACT,DK,2020 ,218 
Y15-24,THS_PER,M,ACT,EA19,2020 ,7597 
Y15-24,THS_PER,M,ACT,EE,2020 ,26 
Y15-24,THS_PER,M,ACT,EL,2020 ,120 
Y15-24,THS_PER,M,ACT,ES,2020 ,792 
Y15-24,THS_PER,M,ACT,EU15,2020 ,: 
Y15-24,THS_PER,M,ACT,EU27_2020,2020 ,9656 
Y15-24,THS_PER,M,ACT,EU28,2020 ,: 
Y15-24,THS_PER,M,ACT,FI,2020 ,157 
Y15-24,THS_PER,M,ACT,FR,2020 ,1491 
Y15-24,THS_PER,M,ACT,FX,2020 ,1459 
Y15-24,THS_PER,M,ACT,HR,2020 ,89 
Y15-24,THS_PER,M,ACT,HU,2020 ,180 
Y15-24,THS_PER,M,ACT,IE,2020 ,142 
Y15-24,THS_PER,M,ACT,IS,2020 ,15 b
Y15-24,THS_PER,M,ACT,IT,2020 ,870 
Y15-24,THS_PER,M,ACT,LT,2020 ,56 
Y15-24,THS_PER,M,ACT,LU,2020 ,12 
Y15-24,THS_PER,M,ACT,LV,2020 ,33 
Y15-24,THS_PER,M,ACT,ME,2020 ,16 
Y15-24,THS_PER,M,ACT,MK,2020 ,48 
Y15-24,THS_PER,M,ACT,MT,2020 ,15 
Y15-24,THS_PER,M,ACT,NL,2020 ,732 
Y15-24,THS_PER,M,ACT,NO,2020 ,185 
Y15-24,THS_PER,M,ACT,PL,2020 ,640 
Y15-24,THS_PER,M,ACT,PT,2020 ,179 
Y15-24,THS_PER,M,ACT,RO,2020 ,372 
Y15-24,THS_PER,M,ACT,RS,2020 ,127 
Y15-24,THS_PER,M,ACT,SE,2020 ,317 
Y15-24,THS_PER,M,ACT,SI,2020 ,35 
Y15-24,THS_PER,M,ACT,SK,2020 ,99 
Y15-24,THS_PER,M,ACT,TR,2020 ,2990 
Y15-24,THS_PER,M,ACT,UK,2020 ,: 
Y15-24,THS_PER,M,EMP_LFS,AT,2020 ,238 
Y15-24,THS_PER,M,EMP_LFS,BE,2020 ,169 
Y15-24,THS_PER,M,EMP_LFS,BG,2020 ,68 
Y15-24,THS_PER,M,EMP_LFS,CH,2020 ,269 
Y15-24,THS_PER,M,EMP_LFS,CY,2020 ,13 
Y15-24,THS_PER,M,EMP_LFS,CZ,2020 ,151 
Y15-24,THS_PER,M,EMP_LFS,DE,2020 ,2192 bp
Y15-24,THS_PER,M,EMP_LFS,DK,2020 ,191 
Y15-24,THS_PER,M,EMP_LFS,EA19,2020 ,6264 
Y15-24,THS_PER,M,EMP_LFS,EE,2020 ,21 
Y15-24,THS_PER,M,EMP_LFS,EL,2020 ,83 
Y15-24,THS_PER,M,EMP_LFS,ES,2020 ,498 
Y15-24,THS_PER,M,EMP_LFS,EU15,2020 ,: 
Y15-24,THS_PER,M,EMP_LFS,EU27_2020,2020 ,8022 
Y15-24,THS_PER,M,EMP_LFS,EU28,2020 ,: 
Y15-24,THS_PER,M,EMP_LFS,FI,2020 ,120 
Y15-24,THS_PER,M,EMP_LFS,FR,2020 ,1188 
Y15-24,THS_PER,M,EMP_LFS,FX,2020 ,1168 
Y15-24,THS_PER,M,EMP_LFS,HR,2020 ,72 
Y15-24,THS_PER,M,EMP_LFS,HU,2020 ,159 
Y15-24,THS_PER,M,EMP_LFS,IE,2020 ,120 
Y15-24,THS_PER,M,EMP_LFS,IS,2020 ,13 b
Y15-24,THS_PER,M,EMP_LFS,IT,2020 ,627 
Y15-24,THS_PER,M,EMP_LFS,LT,2020 ,44 
Y15-24,THS_PER,M,EMP_LFS,LU,2020 ,9 
Y15-24,THS_PER,M,EMP_LFS,LV,2020 ,28 
Y15-24,THS_PER,M,EMP_LFS,ME,2020 ,11 
Y15-24,THS_PER,M,EMP_LFS,MK,2020 ,32 
Y15-24,THS_PER,M,EMP_LFS,MT,2020 ,13 
Y15-24,THS_PER,M,EMP_LFS,NL,2020 ,665 
Y15-24,THS_PER,M,EMP_LFS,NO,2020 ,163 
Y15-24,THS_PER,M,EMP_LFS,PL,2020 ,574 
Y15-24,THS_PER,M,EMP_LFS,PT,2020 ,142 
Y15-24,THS_PER,M,EMP_LFS,RO,2020 ,306 
Y15-24,THS_PER,M,EMP_LFS,RS,2020 ,96 
Y15-24,THS_PER,M,EMP_LFS,SE,2020 ,237 
Y15-24,THS_PER,M,EMP_LFS,SI,2020 ,31 
Y15-24,THS_PER,M,EMP_LFS,SK,2020 ,81 
Y15-24,THS_PER,M,EMP_LFS,TR,2020 ,2316 
Y15-24,THS_PER,M,EMP_LFS,UK,2020 ,: 
Y15-24,THS_PER,T,ACT,AT,2020 ,507 
Y15-24,THS_PER,T,ACT,BE,2020 ,369 
Y15-24,THS_PER,T,ACT,BG,2020 ,134 
Y15-24,THS_PER,T,ACT,CH,2020 ,574 
Y15-24,THS_PER,T,ACT,CY,2020 ,35 
Y15-24,THS_PER,T,ACT,CZ,2020 ,263 
